2.426000000000000000e+03	7.000000000000000000e+01
5.480000000000000000e+03	7.000000000000000000e+01
8.661000000000000000e+03	1.910000000000000000e+02
1.167600000000000000e+04	5.840000000000000000e+02
1.397600000000000000e+04	9.170000000000000000e+02
2.603000000000000000e+03	5.163000000000000000e+03
5.723000000000000000e+03	5.163000000000000000e+03
8.417000000000000000e+03	5.103000000000000000e+03
1.164600000000000000e+04	4.740000000000000000e+03
1.464100000000000000e+04	4.391000000000000000e+03
