mfc1,mfc2,mfc3,mfc4,mfc5,mfc6,mfc7,mfc8,mfc9,mfc10,x1,y1,x2,y2,n,split
0.0151,0.0315,0.0565,0.0585,0.1891,0.0171,0.0396,0.0678,0.0591,0.0995,8680.0,2850.0,15680.0,1350.0,2,train
0.0,0.0097,0.0098,0.0287,0.1759,0.0,0.0117,0.0129,0.0256,0.0884,15680.0,1350.0,,,1,test
0.0,0.0,0.0132,0.048,0.2461,0.0,0.0096,0.0161,0.0512,0.2598,15680.0,1350.0,15680.0,4100.0,2,test
0.0,0.0,0.0,0.0251,0.0786,0.0,0.0025,0.0115,0.032,0.2011,15680.0,4100.0,,,1,train
0.0,0.0,0.0126,0.0488,0.2133,0.0,0.006,0.0156,0.0537,0.2748,15680.0,4100.0,15430.0,2100.0,2,train
0.0,0.0,0.0,0.0288,0.142,0.0,0.0016,0.0114,0.0276,0.1033,15430.0,2100.0,,,1,train
0.0812,0.1097,0.03,0.035,0.1441,0.0362,0.0374,0.026,0.0331,0.1051,15430.0,2100.0,4430.0,350.0,2,train
0.0814,0.109,0.0258,0.0128,0.0098,0.0364,0.0369,0.0224,0.0128,0.0294,4430.0,350.0,,,1,train
0.0904,0.1252,0.0544,0.0356,0.0198,0.0464,0.067,0.1219,0.0553,0.0389,4430.0,350.0,8930.0,4100.0,2,test
0.0133,0.0228,0.0324,0.029,0.0174,0.0159,0.0383,0.1065,0.0492,0.0371,8930.0,4100.0,,,1,train
0.0127,0.0256,0.0458,0.0861,0.1109,0.0158,0.0412,0.1174,0.0883,0.0937,8930.0,4100.0,13180.0,2100.0,2,train
0.0,0.0168,0.0424,0.2085,0.1709,0.0095,0.0194,0.035,0.0826,0.117,13180.0,2100.0,12180.0,1100.0,2,train
0.0,0.0122,0.0274,0.1489,0.0774,0.0,0.0141,0.022,0.042,0.0614,12180.0,1100.0,,,1,train
0.0119,0.0276,0.1015,0.196,0.0856,0.013,0.027,0.0441,0.0639,0.0698,12180.0,1100.0,9930.0,850.0,2,train
0.0114,0.0267,0.0979,0.174,0.106,0.0126,0.026,0.0422,0.0625,0.0736,9930.0,850.0,12680.0,850.0,2,train
0.0,0.0106,0.0196,0.1017,0.0851,0.0,0.0127,0.0176,0.0344,0.059,12680.0,850.0,,,1,train
0.0111,0.0246,0.0435,0.1191,0.0936,0.0154,0.05,0.1376,0.0648,0.0673,12680.0,850.0,8430.0,4350.0,2,train
0.0131,0.0224,0.0286,0.0233,0.0147,0.0167,0.0436,0.1276,0.0373,0.0346,8430.0,4350.0,,,1,train
0.0475,0.0493,0.043,0.0282,0.0156,0.0954,0.1314,0.1484,0.0428,0.0352,8430.0,4350.0,4430.0,4600.0,2,train
0.0385,0.0338,0.0193,0.0114,0.0,0.0848,0.0966,0.0287,0.0129,0.0278,4430.0,4600.0,,,1,train
0.1581,0.0404,0.0146,0.0,0.0,0.0453,0.0329,0.0162,0.0037,0.0254,1430.0,600.0,,,1,train
0.2659,0.0924,0.0301,0.0118,0.0,0.088,0.0642,0.0288,0.0119,0.0251,1430.0,600.0,3180.0,1350.0,2,train
0.1162,0.0592,0.021,0.0106,0.0,0.0507,0.0419,0.0214,0.0115,0.0259,3180.0,1350.0,,,1,train
0.1161,0.0616,0.0334,0.0556,0.0915,0.0504,0.0444,0.0335,0.0726,0.1297,3180.0,1350.0,13430.0,3100.0,2,train
0.0091,0.0127,0.0192,0.0513,0.094,0.0105,0.0164,0.0224,0.0688,0.1282,13430.0,3100.0,,,1,train
0.0,0.0126,0.0322,0.2154,0.1245,0.0,0.0154,0.0284,0.0864,0.1446,13430.0,3100.0,11930.0,600.0,2,train
0.0,0.0089,0.0178,0.1681,0.0404,0.0,0.0107,0.014,0.0241,0.0427,11930.0,600.0,,,1,train
0.0,0.024,0.0773,0.2303,0.0629,0.01,0.0257,0.0468,0.0626,0.0604,11930.0,600.0,9930.0,1850.0,2,train
0.0101,0.0227,0.0635,0.0648,0.0272,0.0116,0.0243,0.0391,0.044,0.0427,9930.0,1850.0,,,1,train
0.0484,0.0715,0.0952,0.0775,0.0323,0.0509,0.0871,0.0736,0.0567,0.0472,9930.0,1850.0,5680.0,2850.0,2,train
0.0406,0.054,0.0344,0.0155,0.0097,0.0439,0.0696,0.0394,0.018,0.0293,5680.0,2850.0,,,1,train
0.0702,0.0806,0.0327,0.0135,0.0,0.0508,0.0552,0.0293,0.0132,0.0234,4680.0,1850.0,,,1,train
0.1246,0.1377,0.0635,0.026,0.0118,0.1078,0.1261,0.0629,0.0268,0.0286,4680.0,1850.0,4930.0,2850.0,2,train
0.0585,0.0628,0.0346,0.0168,0.0093,0.0625,0.0789,0.0387,0.0181,0.0272,4930.0,2850.0,,,1,train
0.0631,0.0728,0.0578,0.0459,0.0283,0.0673,0.0943,0.0945,0.1163,0.0484,4930.0,2850.0,10430.0,4350.0,2,train
0.0,0.0158,0.0274,0.0346,0.0239,0.0097,0.0234,0.0618,0.104,0.0454,10430.0,4350.0,,,1,train
0.0531,0.0639,0.0591,0.0474,0.0295,0.0703,0.1332,0.106,0.118,0.0505,10430.0,4350.0,5430.0,3600.0,2,train
0.0475,0.0531,0.035,0.018,0.01,0.0645,0.1168,0.0499,0.0198,0.0292,5430.0,3600.0,,,1,train
0.0784,0.1073,0.0785,0.0333,0.0149,0.0932,0.1677,0.0881,0.0348,0.0329,5430.0,3600.0,6430.0,2350.0,2,train
0.0361,0.0608,0.0482,0.0216,0.0114,0.0354,0.0607,0.0451,0.0222,0.0301,6430.0,2350.0,,,1,train
0.0446,0.0762,0.0699,0.0357,0.0175,0.0462,0.0996,0.182,0.0455,0.0356,6430.0,2350.0,8180.0,4600.0,2,train
0.0173,0.0248,0.0284,0.0218,0.0133,0.0207,0.0516,0.1474,0.0327,0.032,8180.0,4600.0,,,1,train
0.0347,0.0667,0.0788,0.0406,0.0189,0.0381,0.0926,0.1889,0.0503,0.0353,8180.0,4600.0,7180.0,2350.0,2,train
0.0271,0.0519,0.0572,0.0261,0.0124,0.0277,0.0533,0.0492,0.0257,0.0303,7180.0,2350.0,,,1,train
0.0844,0.1014,0.0802,0.0344,0.0159,0.0874,0.113,0.0736,0.0345,0.0339,7180.0,2350.0,4430.0,2850.0,2,test
0.0607,0.0557,0.0278,0.0136,0.0,0.0649,0.068,0.0296,0.0142,0.0271,4430.0,2850.0,,,1,train
0.0609,0.0573,0.0347,0.0437,0.1346,0.0653,0.0699,0.0358,0.0426,0.1133,4430.0,2850.0,14680.0,2350.0,2,train
0.0097,0.0124,0.0146,0.0373,0.1323,0.0092,0.0139,0.0142,0.0358,0.1114,14680.0,2350.0,,,1,train
0.0191,0.1931,0.0318,0.0394,0.1308,0.0129,0.0205,0.0186,0.0369,0.1116,14680.0,2350.0,5680.0,100.0,2,train
0.0231,0.1934,0.0272,0.0115,0.0,0.0166,0.0226,0.0156,0.0107,0.0273,5680.0,100.0,,,1,train
0.0275,0.2019,0.0502,0.043,0.0281,0.0212,0.0366,0.0624,0.1157,0.051,5680.0,100.0,10680.0,4100.0,2,test
0.0099,0.0146,0.0282,0.0378,0.0267,0.0117,0.0236,0.0529,0.1116,0.0502,10680.0,4100.0,,,1,train
0.0244,0.061,0.1199,0.0612,0.0349,0.0236,0.0485,0.0816,0.1283,0.0568,10680.0,4100.0,7680.0,1100.0,2,train
0.0233,0.0534,0.0976,0.0303,0.0142,0.0215,0.0364,0.0352,0.0242,0.033,7680.0,1100.0,,,1,train
0.0,0.0,0.0189,0.0897,0.1,0.0,0.012,0.0155,0.0341,0.0619,12930.0,850.0,,,1,train
0.0,0.087,0.0268,0.1268,0.2319,0.0,0.0125,0.0217,0.0639,0.1302,12930.0,850.0,14180.0,2100.0,2,train
0.0,0.0,0.0132,0.043,0.1388,0.0,0.011,0.0134,0.0364,0.0959,14180.0,2100.0,,,1,train
0.0323,0.0413,0.0394,0.0535,0.1431,0.0438,0.0971,0.0537,0.0484,0.0991,14180.0,2100.0,5930.0,3600.0,2,train
0.0333,0.0403,0.0309,0.0159,0.0,0.0441,0.0952,0.0464,0.0179,0.0283,5930.0,3600.0,,,1,test
0.0851,0.186,0.0521,0.0214,0.0094,0.0664,0.1185,0.0596,0.0226,0.0286,5930.0,3600.0,4930.0,100.0,2,test
0.0577,0.1513,0.0272,0.0125,0.0,0.0305,0.0339,0.0203,0.0122,0.0271,4930.0,100.0,,,1,train
0.1668,0.1889,0.0395,0.0148,0.0,0.0892,0.0673,0.0314,0.0142,0.026,4930.0,100.0,1930.0,2100.0,2,train
0.1169,0.0455,0.0194,0.0108,0.0,0.0669,0.0447,0.02,0.0105,0.0258,1930.0,2100.0,,,1,train
0.1161,0.0453,0.0237,0.0354,0.0964,0.066,0.0445,0.0236,0.0406,0.1471,1930.0,2100.0,14680.0,3350.0,2,train
0.0023,0.0109,0.0186,0.0491,0.1247,0.0094,0.0155,0.0204,0.0732,0.3409,14680.0,3350.0,14180.0,4350.0,2,train
0.0,0.0,0.0109,0.0235,0.0436,0.0,0.0112,0.0129,0.0403,0.2042,14180.0,4350.0,,,1,test
0.1836,0.0453,0.0147,0.0,0.0,0.0329,0.0278,0.0134,0.0,0.0254,2930.0,100.0,,,1,train
0.2116,0.1292,0.0696,0.0209,0.0,0.0545,0.0608,0.0381,0.0177,0.0255,2930.0,100.0,6430.0,1100.0,2,train
0.035,0.0896,0.0605,0.0207,0.0096,0.0291,0.0427,0.0323,0.0184,0.0279,6430.0,1100.0,,,1,test
0.0339,0.0402,0.0292,0.025,0.0,0.0476,0.095,0.0424,0.0166,0.0269,5680.0,3600.0,,,1,train
0.0643,0.0655,0.0437,0.0204,0.0092,0.1204,0.2062,0.0653,0.0224,0.0278,5680.0,3600.0,4680.0,5100.0,2,test
0.0358,0.0321,0.0208,0.0124,0.0,0.0803,0.1216,0.0303,0.0136,0.0268,4680.0,5100.0,,,1,train
0.0743,0.1306,0.058,0.0211,0.009,0.1046,0.1531,0.0501,0.0205,0.0273,4680.0,5100.0,5680.0,1100.0,2,train
0.0444,0.1055,0.0434,0.0164,0.0,0.0323,0.0422,0.0278,0.0151,0.0269,5680.0,1100.0,,,1,train
0.2111,0.0306,0.0135,0.0089,0.0,0.0307,0.0259,0.0143,0.009,0.0254,2180.0,100.0,,,1,train
0.253,0.063,0.0287,0.0132,0.0,0.1195,0.0923,0.0332,0.0136,0.0257,2180.0,100.0,3930.0,3850.0,2,train
0.0492,0.0401,0.022,0.0117,0.0,0.0966,0.0773,0.0275,0.0121,0.0255,3930.0,3850.0,,,1,train
0.0259,0.0575,0.0658,0.0253,0.0112,0.0265,0.046,0.0416,0.0229,0.0287,7180.0,1850.0,,,1,train
0.0497,0.0947,0.1012,0.0412,0.0185,0.0546,0.1168,0.0953,0.0411,0.0357,7180.0,1850.0,6680.0,3350.0,2,train
0.0267,0.042,0.0388,0.0204,0.017,0.0343,0.0786,0.0586,0.0229,0.0297,6680.0,3350.0,,,1,train
0.0279,0.046,0.0533,0.0717,0.094,0.0357,0.0835,0.0723,0.0731,0.1,6680.0,3350.0,13180.0,2600.0,2,train
0.0089,0.0165,0.0358,0.0963,0.1344,0.0114,0.0214,0.0397,0.1487,0.1572,13180.0,2600.0,12430.0,3600.0,2,train
0.0,0.0107,0.0201,0.0452,0.0523,0.0,0.0146,0.0249,0.0988,0.0905,12430.0,3600.0,,,1,train
0.0,0.0197,0.0383,0.0603,0.0595,0.0121,0.0358,0.1703,0.1319,0.0968,12430.0,3600.0,8930.0,4850.0,2,train
0.0,0.017,0.0242,0.0152,0.0,0.0125,0.0316,0.1525,0.0435,0.0355,8930.0,4850.0,,,1,train
0.065,0.0742,0.0499,0.031,0.0171,0.0612,0.0841,0.1756,0.0511,0.0368,8930.0,4850.0,4680.0,2350.0,2,train
0.059,0.0628,0.0302,0.0143,0.0,0.0542,0.0604,0.0292,0.0142,0.0279,4680.0,2350.0,,,1,train
0.0,0.0,0.0136,0.0412,0.0949,0.0,0.0107,0.0143,0.0462,0.1187,13930.0,2850.0,,,1,train
0.0,0.0099,0.0232,0.0583,0.1097,0.0,0.0143,0.0336,0.2312,0.1374,13930.0,2850.0,11430.0,4600.0,2,train
0.0,0.0096,0.0154,0.0243,0.0215,0.0,0.014,0.0261,0.1913,0.047,11430.0,4600.0,,,1,test
0.1707,0.0414,0.0252,0.0264,0.0211,0.0429,0.0364,0.0345,0.1915,0.0463,11430.0,4600.0,1680.0,350.0,2,train
0.1696,0.0388,0.0168,0.0115,0.0091,0.042,0.0324,0.0167,0.0102,0.0297,1680.0,350.0,,,1,train
0.1698,0.04,0.0273,0.055,0.0942,0.0424,0.0348,0.0257,0.0523,0.1,1680.0,350.0,13430.0,2600.0,2,train
0.0,0.0117,0.0181,0.0522,0.093,0.0094,0.0146,0.0182,0.0499,0.0993,13430.0,2600.0,,,1,train
0.0154,0.0302,0.0446,0.0675,0.1,0.0223,0.0666,0.1049,0.072,0.1056,13430.0,2600.0,7680.0,4100.0,2,train
0.017,0.0282,0.0329,0.0224,0.0132,0.0229,0.0639,0.0942,0.0281,0.0331,7680.0,4100.0,,,1,train
0.0373,0.0556,0.059,0.0344,0.0173,0.0491,0.1503,0.1526,0.0425,0.0362,7680.0,4100.0,6680.0,4100.0,2,train
0.0253,0.0347,0.0316,0.0192,0.0115,0.0342,0.0966,0.0659,0.0213,0.0311,6680.0,4100.0,,,1,train
0.0105,0.0168,0.0266,0.0343,0.0233,0.0128,0.0238,0.0534,0.1142,0.0479,10680.0,4350.0,,,1,train
0.0053,0.0222,0.0569,0.1039,0.0611,0.0116,0.03,0.078,0.1676,0.0776,10680.0,4350.0,11180.0,2350.0,2,train
0.0,0.0163,0.0374,0.0764,0.0425,0.0098,0.0194,0.0327,0.0602,0.0568,11180.0,2350.0,,,1,train
0.0,0.0166,0.0437,0.1022,0.1165,0.0,0.0201,0.0392,0.0942,0.183,11180.0,2350.0,14430.0,3350.0,2,train
0.01,0.027,0.0856,0.0922,0.0997,0.0127,0.0281,0.0451,0.0735,0.169,14430.0,3350.0,9680.0,1600.0,2,train
0.0108,0.0254,0.0777,0.0656,0.0257,0.0128,0.0257,0.0373,0.0387,0.0419,9680.0,1600.0,,,1,train
0.1319,0.0679,0.0924,0.0702,0.0265,0.0707,0.0612,0.0508,0.0426,0.0421,9680.0,1600.0,2180.0,1850.0,2,train
0.1244,0.0495,0.0204,0.0118,0.0,0.0637,0.0445,0.0208,0.0113,0.0285,2180.0,1850.0,,,1,train
0.1197,0.0487,0.0274,0.0436,0.0942,0.061,0.0441,0.0275,0.0566,0.1757,2180.0,1850.0,14180.0,3350.0,2,train
0.0,0.0,0.0101,0.0335,0.0786,0.0,0.0,0.0122,0.0452,0.1469,14180.0,3350.0,,,1,train
0.1006,0.0913,0.0432,0.0444,0.0829,0.0671,0.0663,0.0408,0.0557,0.1516,14180.0,3350.0,4180.0,1850.0,2,train
0.0809,0.0723,0.0292,0.014,0.0,0.0546,0.0531,0.0277,0.0138,0.0268,4180.0,1850.0,,,1,train
0.1048,0.1044,0.057,0.0263,0.0124,0.086,0.1452,0.0822,0.029,0.03,4180.0,1850.0,6430.0,3850.0,2,train
0.0298,0.0393,0.0335,0.0192,0.0109,0.039,0.1018,0.0622,0.0222,0.029,6430.0,3850.0,,,1,train
0.0443,0.0719,0.1189,0.0705,0.0307,0.0527,0.1343,0.1168,0.0643,0.0462,6430.0,3850.0,8930.0,2100.0,2,train
0.0204,0.04,0.0907,0.0573,0.0253,0.0211,0.0419,0.0617,0.0485,0.0415,8930.0,2100.0,,,1,train
0.0911,0.113,0.1153,0.065,0.0281,0.0617,0.0819,0.0817,0.0559,0.044,8930.0,2100.0,4430.0,1600.0,2,test
0.076,0.08,0.0303,0.0145,0.0092,0.0479,0.0491,0.0272,0.0145,0.0282,4430.0,1600.0,,,1,train
0.1281,0.1551,0.0623,0.0236,0.0108,0.0855,0.095,0.052,0.0227,0.0289,4430.0,1600.0,5180.0,1850.0,2,test
0.0575,0.0826,0.0376,0.0166,0.0092,0.0445,0.0549,0.0324,0.0161,0.0279,5180.0,1850.0,,,1,train
0.0,0.0107,0.0122,0.0268,0.0523,0.0088,0.0133,0.015,0.0439,0.1938,14180.0,4100.0,,,1,train
0.0,0.0105,0.0206,0.0435,0.0666,0.0,0.0146,0.0333,0.2299,0.211,14180.0,4100.0,11430.0,4600.0,2,train
0.011,0.0315,0.115,0.0716,0.0355,0.013,0.0302,0.0544,0.2165,0.0561,11430.0,4600.0,9180.0,1100.0,2,train
0.0128,0.029,0.1048,0.0538,0.0205,0.0136,0.0259,0.0341,0.0292,0.0359,9180.0,1100.0,,,1,train
0.0143,0.0343,0.1228,0.1032,0.0753,0.0153,0.0323,0.0532,0.1027,0.0954,9180.0,1100.0,12430.0,3100.0,2,train
0.0,0.0137,0.0235,0.0556,0.0601,0.0097,0.017,0.0266,0.0789,0.0842,12430.0,3100.0,,,1,train
0.0,0.0,0.0103,0.0318,0.1973,0.0,0.0105,0.0115,0.0218,0.0621,14430.0,1350.0,,,1,train
0.0156,0.0209,0.0152,0.0106,0.0,0.0327,0.1784,0.0313,0.011,0.0272,5680.0,4850.0,,,1,train
0.0256,0.0365,0.0643,0.0812,0.0317,0.0407,0.1921,0.0604,0.0492,0.0448,5680.0,4850.0,10430.0,1850.0,2,train
0.0564,0.0457,0.0629,0.0797,0.0314,0.1564,0.0625,0.0476,0.0484,0.0449,10430.0,1850.0,2430.0,4350.0,2,train
0.0491,0.0324,0.0169,0.0114,0.0,0.1435,0.0482,0.0208,0.0117,0.0276,2430.0,4350.0,,,1,train
0.0968,0.1667,0.0355,0.015,0.0,0.1631,0.0693,0.0314,0.0143,0.0258,2430.0,4350.0,4930.0,100.0,2,train
0.1317,0.2287,0.0494,0.018,0.0,0.0631,0.0658,0.0369,0.0164,0.0257,4930.0,100.0,4430.0,1100.0,2,train
0.0836,0.0928,0.0299,0.0133,0.0,0.0425,0.0442,0.0251,0.0125,0.0252,4430.0,1100.0,,,1,train
0.0848,0.0793,0.0253,0.0113,0.0,0.0404,0.0404,0.0221,0.0106,0.0241,4180.0,1100.0,,,1,train
0.0866,0.0841,0.04,0.0427,0.0383,0.0423,0.0466,0.0438,0.1482,0.071,4180.0,1100.0,11930.0,4100.0,2,train
0.0089,0.0127,0.0209,0.038,0.0373,0.0088,0.0171,0.0302,0.1438,0.0708,11930.0,4100.0,,,1,train
0.0,0.0172,0.0478,0.1032,0.1029,0.0,0.0227,0.0543,0.2043,0.105,11930.0,4100.0,11430.0,2600.0,2,train
0.0,0.0141,0.0334,0.0711,0.0456,0.0,0.0179,0.033,0.0679,0.0597,11430.0,2600.0,,,1,train
0.0256,0.0556,0.0987,0.097,0.0555,0.0244,0.055,0.0769,0.0907,0.0678,11430.0,2600.0,7680.0,2100.0,2,train
0.0238,0.0475,0.0695,0.0313,0.0147,0.0222,0.0454,0.05,0.0285,0.0326,7680.0,2100.0,,,1,train
0.0235,0.049,0.0757,0.0549,0.1208,0.0222,0.047,0.0559,0.054,0.1463,7680.0,2100.0,15930.0,2850.0,2,train
0.0,0.0,0.0103,0.0287,0.1093,0.0,0.0114,0.0131,0.0313,0.137,15930.0,2850.0,,,1,train
0.0,0.0,0.0098,0.0317,0.1352,0.0,0.0029,0.0116,0.031,0.1153,15180.0,2350.0,,,1,test
0.0091,0.0217,0.0406,0.0563,0.1468,0.0116,0.0368,0.0972,0.0725,0.1263,15180.0,2350.0,8930.0,3850.0,2,train
0.0119,0.0218,0.0347,0.0302,0.0172,0.0134,0.0369,0.0918,0.0473,0.0353,8930.0,3850.0,,,1,train
0.0465,0.0437,0.0449,0.0333,0.0173,0.178,0.0848,0.1047,0.0503,0.0351,8930.0,3850.0,3180.0,4850.0,2,train
0.0394,0.0289,0.0163,0.0108,0.0,0.1696,0.0577,0.0217,0.011,0.0247,3180.0,4850.0,,,1,train
0.0391,0.0313,0.0274,0.0398,0.0449,0.1693,0.0609,0.0373,0.1546,0.0929,3180.0,4850.0,12430.0,4600.0,2,train
0.0099,0.0132,0.0195,0.0376,0.0443,0.0,0.0163,0.0266,0.1522,0.0923,12430.0,4600.0,,,1,train
0.0151,0.0348,0.0726,0.0706,0.0576,0.016,0.0426,0.0767,0.1841,0.1035,12430.0,4600.0,8680.0,2600.0,2,train
0.0158,0.0311,0.0588,0.0389,0.0179,0.0157,0.0375,0.058,0.0382,0.0332,8680.0,2600.0,,,1,train
0.1235,0.0549,0.0194,0.0115,0.0,0.0383,0.0344,0.0192,0.0112,0.0253,3180.0,850.0,,,1,train
0.1383,0.0607,0.0216,0.0245,0.217,0.043,0.0373,0.0197,0.017,0.05,3180.0,850.0,14680.0,1100.0,2,test
0.0,0.0095,0.0089,0.0223,0.215,0.0,0.0114,0.0108,0.0168,0.0512,14680.0,1100.0,,,1,train
0.0087,0.0282,0.1111,0.0465,0.0139,0.0,0.023,0.0323,0.0268,0.0303,8930.0,1100.0,,,1,train
0.154,0.0703,0.1259,0.0516,0.0167,0.0599,0.0564,0.0463,0.0323,0.0325,8930.0,1100.0,1680.0,1350.0,2,train
0.1458,0.0468,0.0199,0.0124,0.0,0.0532,0.0403,0.0214,0.0121,0.0255,1680.0,1350.0,,,1,train
0.16,0.0784,0.1475,0.0462,0.0177,0.0649,0.0591,0.0468,0.0315,0.0268,1680.0,1350.0,8680.0,850.0,2,train
0.0153,0.0374,0.1383,0.0677,0.1605,0.0152,0.0294,0.0398,0.0517,0.1093,8680.0,850.0,15180.0,2100.0,2,train
0.0,0.0084,0.0103,0.0332,0.1488,0.0,0.0107,0.014,0.0315,0.1012,15180.0,2100.0,,,1,train
0.0399,0.1273,0.152,0.0632,0.159,0.0315,0.0527,0.0543,0.0537,0.1091,15180.0,2100.0,7180.0,350.0,2,train
0.042,0.1263,0.1456,0.0378,0.0166,0.0332,0.0526,0.0495,0.0306,0.0297,7180.0,350.0,,,1,train
0.0647,0.1822,0.1713,0.0474,0.0193,0.0494,0.0777,0.0696,0.0389,0.0318,7180.0,350.0,6680.0,1100.0,2,test
0.0415,0.1077,0.082,0.028,0.0127,0.033,0.0506,0.0437,0.0246,0.0267,6680.0,1100.0,,,1,train
0.0105,0.015,0.0215,0.0534,0.0725,0.0111,0.0184,0.0277,0.0872,0.1104,12930.0,3350.0,,,1,train
0.0,0.0165,0.0392,0.1279,0.2155,0.0,0.02,0.0434,0.1498,0.2086,12930.0,3350.0,13430.0,2350.0,2,train
0.0,0.0133,0.0242,0.0816,0.1494,0.0,0.016,0.0267,0.0717,0.1221,13430.0,2350.0,,,1,train
0.0224,0.0479,0.1163,0.0931,0.1188,0.0214,0.0395,0.0541,0.0751,0.1015,13430.0,2350.0,8430.0,1350.0,2,train
0.0182,0.0421,0.1017,0.04,0.0163,0.0177,0.0329,0.0403,0.0292,0.0291,8430.0,1350.0,,,1,train
0.0119,0.0171,0.0259,0.0837,0.2775,0.0125,0.0203,0.0288,0.0693,0.1575,15430.0,1850.0,13680.0,2100.0,2,test
0.0,0.011,0.0163,0.0571,0.128,0.0,0.0134,0.0192,0.0451,0.0886,13680.0,2100.0,,,1,train
0.048,0.1271,0.0357,0.0145,0.0,0.0301,0.0379,0.0262,0.0133,0.0216,5430.0,850.0,,,1,train
0.0621,0.0991,0.0395,0.0162,0.0,0.0432,0.0527,0.0331,0.0152,0.0189,5180.0,1600.0,,,1,train
0.1201,0.1737,0.0691,0.0263,0.0105,0.0825,0.0976,0.0576,0.0252,0.0224,5180.0,1600.0,4930.0,1850.0,2,train
0.0629,0.0828,0.0345,0.0158,0.0,0.0459,0.0537,0.0321,0.0154,0.0211,4930.0,1850.0,,,1,train
0.2326,0.1185,0.0453,0.0187,0.0,0.084,0.0784,0.0417,0.0183,0.0212,4930.0,1850.0,1430.0,100.0,2,test
0.1775,0.0444,0.0177,0.011,0.0,0.0462,0.0356,0.0201,0.011,0.0205,1430.0,100.0,,,1,train
0.1942,0.0791,0.0641,0.0325,0.0135,0.0629,0.0784,0.0747,0.0341,0.0255,1430.0,100.0,7680.0,2850.0,2,train
0.0256,0.0446,0.054,0.0302,0.0146,0.0268,0.0553,0.0655,0.0323,0.0277,7680.0,2850.0,,,1,train
0.0782,0.1052,0.0806,0.039,0.0177,0.0704,0.1067,0.0905,0.041,0.0304,7680.0,2850.0,4930.0,2350.0,2,train
0.111,0.1536,0.0714,0.0285,0.013,0.0896,0.1119,0.0646,0.028,0.0264,4930.0,2350.0,5430.0,1850.0,2,test
0.0511,0.0833,0.0389,0.0166,0.0,0.0398,0.0529,0.0341,0.016,0.022,5430.0,1850.0,,,1,train
0.079,0.1529,0.1197,0.0404,0.0172,0.0611,0.09,0.07,0.0357,0.0299,5430.0,1850.0,7180.0,1350.0,2,train
0.0333,0.0775,0.0859,0.0298,0.0142,0.0287,0.0465,0.044,0.0258,0.0271,7180.0,1350.0,,,1,train
0.0352,0.0873,0.1226,0.1061,0.0469,0.0306,0.0562,0.0708,0.0729,0.0527,7180.0,1350.0,10930.0,2100.0,2,train
0.0104,0.0197,0.0434,0.0839,0.039,0.0116,0.022,0.0366,0.0555,0.0468,10930.0,2100.0,,,1,train
0.0,0.0129,0.0219,0.0717,0.0921,0.0,0.0152,0.0225,0.0507,0.0744,12930.0,2100.0,,,1,train
0.0385,0.0861,0.0726,0.0869,0.0975,0.0324,0.0528,0.0523,0.064,0.0787,12930.0,2100.0,6430.0,1600.0,2,train
0.038,0.0826,0.0572,0.0221,0.0104,0.0314,0.0483,0.0391,0.0205,0.0246,6430.0,1600.0,,,1,train
0.0386,0.0867,0.0724,0.0762,0.0862,0.0322,0.053,0.0534,0.0729,0.0883,6430.0,1600.0,12930.0,2600.0,2,train
0.0684,0.1732,0.0622,0.0353,0.0172,0.0431,0.0756,0.1055,0.0436,0.0315,4930.0,100.0,8180.0,3600.0,2,train
0.1278,0.0472,0.0191,0.0111,0.0,0.0636,0.043,0.0219,0.0111,0.0219,1180.0,2350.0,,,1,test
0.1357,0.0622,0.0444,0.0317,0.0161,0.0725,0.0716,0.1388,0.0536,0.0307,1180.0,2350.0,8930.0,4350.0,2,train
0.0164,0.0248,0.0326,0.0289,0.0166,0.0182,0.0411,0.1276,0.0505,0.0317,8930.0,4350.0,,,1,train
0.0145,0.0297,0.0504,0.0538,0.0332,0.0181,0.0505,0.1733,0.1643,0.0513,8930.0,4350.0,5180.0,600.0,2,train
0.0112,0.018,0.0268,0.0342,0.0244,0.0128,0.0253,0.0594,0.1244,0.0432,5180.0,600.0,,,1,test
0.0,0.0172,0.0325,0.0594,0.0992,0.0099,0.0244,0.0651,0.1578,0.172,5180.0,600.0,14430.0,3350.0,2,train
0.0,0.0122,0.0212,0.0581,0.134,0.0,0.0155,0.0252,0.0879,0.2858,14430.0,3350.0,13930.0,3850.0,2,train
0.0,0.0,0.0111,0.03,0.0571,0.0,0.0103,0.0151,0.0505,0.1561,13930.0,3850.0,,,1,train
0.0,0.02,0.0693,0.1223,0.0826,0.0,0.0202,0.038,0.0809,0.1721,13930.0,3850.0,10430.0,1100.0,2,train
0.0092,0.0248,0.0814,0.2037,0.0998,0.0111,0.0252,0.0433,0.0669,0.0685,10430.0,1100.0,12430.0,1100.0,2,train
0.0,0.0131,0.0241,0.1137,0.0758,0.009,0.0158,0.021,0.037,0.0522,12430.0,1100.0,,,1,train
0.041,0.0345,0.0331,0.1162,0.0766,0.1334,0.0662,0.0331,0.0394,0.0525,12430.0,1100.0,3430.0,4600.0,2,train
0.0435,0.0334,0.0177,0.0113,0.0,0.1344,0.065,0.0244,0.0118,0.0224,3430.0,4600.0,,,1,train
0.078,0.0783,0.0483,0.0216,0.0084,0.1737,0.148,0.0676,0.0232,0.0222,3430.0,4600.0,5930.0,3350.0,2,train
